,DonchBreak,DonchStop,atr,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
43,100,20,1,portf.4,OJ,158,77,34323.480651,445.759488974025,-743.166899999998,18970.8,-5314.22849999998,99169.2,-64845.719349,4371.1875495778,18.1818181818182,81.8181818181818,1.52930989116291,7083.51428571428,4439.99999999999,-1029.29713252381,-881.592600000004,445.759488974025,-743.166899999998,4371.1875495778,1.61883068021607,-27569.66295,1.244972806278,6.8818945102331,5.03633991483138,34564.680651,-18524.66295,34323.480651
44,100,20,1,portf.4,RR,193,93,44447.969979,477.935161064515,-280,11410,-2225.6,78674.7010039999,-34226.731025,2194.76997572081,25.8064516129032,74.1935483870968,2.29863322169254,3278.11254183333,2545.15,-496.039580072464,-426.151249999999,477.935161064515,-280,2194.76997572081,3.45684766871759,-9740.7,4.56311866488034,6.60857051236606,5.97241003047629,51848.6699789999,-1972.63080000001,44447.969979
45,120,20,1,portf.5,CC,166,68,-9082.26652300016,-119.562742985297,-1824.683484,30526.9960000001,-19431.38632,113969.10441,-122099.370933,6566.22861118458,20.5882352941176,79.4117647058823,0.933412707527695,8140.65031499999,3412.19495,-2261.09946172222,-1976.19873,-119.562742985297,-1824.683484,6566.22861118458,-0.28905477046809,-47866.4530030001,-0.189741791029114,3.60030615760682,1.72664565471105,33493.4985699999,-38302.86487,-9082.26652300016
46,120,20,1,portf.5,CO,175,78,-58011.6823579999,-743.739517410256,-1256.29354799999,13548.05636,-5440.35939999998,47225.235892,-105236.91825,2705.84585101909,12.8205128205128,87.1794871794872,0.448751604259373,4722.5235892,3698.95000000001,-1547.60173897059,-1352.232068,-743.739517410256,-1256.29354799999,2705.84585101909,-4.36333016355155,-72131.2092699999,-0.804252180784214,3.05151090896374,2.73544023066313,14119.526912,-58011.6823579999,-58011.6823579999
47,120,20,1,portf.5,CT,150,66,-13522.9621660001,-204.893366151517,-784.919659999996,6262.49999999999,-3850,41926.8385999999,-55449.800766,1973.33721085486,21.2121212121212,78.7878787878788,0.756122439049557,2994.77418571428,2361.62868000001,-1066.34232242308,-1041.951875,-204.893366151517,-784.919659999996,1973.33721085486,-1.6482643386296,-40192.7158000001,-0.336453058641042,2.80845477361264,2.26654295333939,26535,-13657.7158000001,-13522.9621660001
48,120,20,1,portf.5,HG,134,35,-5943.50000000001,-169.814285714285,-840,11345,-6660,44504,-50447.5,3881.16785063335,25.7142857142857,74.2857142857143,0.882184449179841,4944.88888888889,6070.00000000001,-1940.28846153846,-1132.5,-169.814285714285,-840,3881.16785063335,-0.694563677259281,-56935,-0.104390972161237,2.54853285318621,5.35982339955851,33355,-23580,-5943.50000000001
49,120,20,1,portf.5,KC,148,66,-20655.646896,-312.964346909091,-442.780850000001,4255,-5094.51844999999,20135.808221,-40791.455117,1354.47464411723,19.6969696969697,80.3030303030303,0.493628093512367,1548.90832469231,570.771600000011,-769.650096547171,-503.361000000001,-312.964346909091,-442.780850000001,1354.47464411723,-3.66795717327375,-30094.205867,-0.686366238979248,2.01248376585811,1.13392098315128,1385.44,-28708.765867,-20655.646896
50,120,20,1,portf.5,LB,112,53,-12054.459988,-227.442641283018,-477.599344000002,12239.8,-8928.51199999999,28866.211,-40920.670988,2519.97760590493,16.9811320754717,83.0188679245283,0.705418809199513,3207.35677777778,1290,-930.015249727273,-502.345799999999,-227.442641283018,-477.599344000002,2519.97760590493,-1.43276669988608,-33737.6641,-0.357299780810847,3.44871417830873,2.56795219547969,6894.57670000001,-26843.0874,-12054.459988
51,120,20,1,portf.5,LC,149,70,-11933.777921,-217.736827442859,-314.006555000003,4990.00000000001,-4042.5,13218.7249999999,-28460.3029210001,1062.69175137489,14.2857142857143,85.7142857142857,0.46446185188866,1321.87249999999,260,-474.338382016668,-365.1515,-217.736827442859,-314.006555000003,1062.69175137489,-3.25255651563309,-41264.0779210001,-0.289205006442825,2.78677111133196,0.712033224565694,26022.5,-15241.5779210001,-11933.777921
52,120,20,1,portf.5,LSU,200,89,10941.014939,54.3878083033713,-222.410238000001,10902,-7878.71352999997,51385.40983,-46544.894891,2434.82794046011,16.8539325842697,83.1460674157303,1.10399668858069,3425.69398866667,2081.2,-628.985066094594,-284.895022499999,54.3878083033713,-222.410238000001,2434.82794046011,0.3545957709785,-26635.772145,0.410763948551564,5.44638366366471,7.30514693355167,16095,-10540.772145,10941.014939
